country;50% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 1);Model Family 1 : Total amount of non-repayable support (grants);Model Family 1 : Total amount of tuition fees;Model Family 1 : Total amount of family benefits - paid to parents of a student;Model Family 1 : Total amount of student loans;Model Family 1 : sum of non-repayable support;Model Family 1 : sum of all types of support;Model Family 1 : sum of all types of support, minus tuition fees;100% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 2);Model Family 2 : Total amount of non-repayable support (grants);Model Family 2 : Total amount of tuition fees;Model Family 2 : Total amount of family benefits - paid to parents of a student;Model Family 2 : Total amount of student loans;Model Family 2 : sum of non-repayable support;Model Family 2 : sum of all types of support;Model Family 2 : sum of all types of support, minus tuition fees;200% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 3);Model Family 3 : Total amount of non-repayable support (grants);Model Family 3 : Total amount of tuition fees;Model Family 3 : Total amount of family benefits - paid to parents of a student;Model Family 3 : Total amount of student loans;Model Family 3 : sum of non-repayable support;Model Family 3 : sum of all types of support;Model Family 3 : sum of all types of support, minus tuition fees;Non-repayable student support as a percentage of net APW, an average for the three model families;Tuition fee as a percentage of net APW, an average for the three model families;Family benefits (indirect support) as a percentage of net APW, an average for the three model families;Repayable student loan as a percentage of net APW, an average for the three model families;Non-repayable student support as a percentage of APW, an average for the three model families;Total support as a percentage of APW, an average for the three model families;Total support net of tuition fees as a percentage of net APW, an average for the three model families;
Hungary;12550,92829;3913,54926;1294,963268;1218,29129;6230,17104;5131,84055;11362,01159;10067,04832;24069,69313;2242,628915;1294,963268;1218,29129;6230,17104;3460,920205;9691,091245;8396,127977;47107,2228;0;1294,963268;1218,29129;6230,17104;1218,29129;7448,46233;6153,499062;0,060107238;0,037931;0,035685188;0,182489053;0,095792426;0,278281479;0,240350479
Iceland;34184,2639;3571,65295;0;0;8333,856883;3571,65295;11905,50983;11905,50983;54792,92135;3571,65295;0;0;8333,856883;3571,65295;11905,50983;11905,50983;96522,3983;3571,65295;0;0;8333,856883;3571,65295;11905,50983;11905,50983;0,045503109;0;0;0,106173921;0,045503109;0,15167703;0,15167703
Ireland;30494,19355;6922,580645;3870,967742;4065,806452;0;10988,3871;10988,3871;7117,419355;41232,66677;5438,709677;3870,967742;703,2258065;0;6141,935484;6141,935484;2270,967742;80487,2329;0;3870,967742;0;0;0;0;-3870,967742;12,89434913;12,11368916;4,974688349;0;17,86903748;17,86903748;5,755348318
Italy;23876,24261;3135,68038;0;0;0;3135,68038;3135,68038;3135,68038;36941,10968;3135,68038;0;0;0;3135,68038;3135,68038;3135,68038;68581,88371;0;909,8101266;172,4683544;0;172,4683544;172,4683544;-737,3417722;8,953926273;1,298980095;0,246241444;0;9,200167717;9,200167717;7,901187622
Japan;21367,79873;3478,191817;10377,73719;0;22101,87409;3478,191817;25580,06591;15202,32872;38342,44353;0;10377,73719;0;22101,87409;0;22101,87409;11724,1369;82128,81993;0;10377,73719;0;14293,93897;0;14293,93897;3916,201783;0,030015247;0,268665755;0;0,504808996;0,030015247;0,534824243;0,266158488
Latvia;13329,9891;0;3634,042553;0;3634,042553;0;3634,042553;0;23792,07574;0;3634,042553;1531,914894;3634,042553;1531,914894;5165,957447;1531,914894;42322,02628;0;3634,042553;1570,212766;3634,042553;1570,212766;5204,255319;1570,212766;0;32,49823814;9,247156755;32,49823814;9,247156755;41,7453949;9,247156755
Lithuania;16734,4036;7025,404157;3311,778291;0;3311,778291;7025,404157;10337,18245;7025,404157;27372,84415;0;3311,778291;0;3311,778291;0;3311,778291;0;50208,04395;0;3311,778291;0;3311,778291;0;3311,778291;0;19,75796618;27,94173915;0;27,94173915;19,75796618;47,69970532;19,75796618
Luxembourg;35186,96131;7267,303103;0;0;7019,093079;7267,303103;14286,39618;14286,39618;60939,82801;5825,775656;0;0;8324,582339;5825,775656;14150,358;14150,358;101507,1608;3193,317422;0;0;10706,44391;3193,317422;13899,76134;13899,76134;10,63061764;0;0;17,0036916;10,63061764;27,63430924;27,63430924
Malta;15493,35045;7138,207885;0;0;0;7138,207885;7138,207885;7138,207885;26374,59566;3518,44086;0;609,3189964;0;4127,759857;4127,759857;4127,759857;56589,18149;3518,44086;0;582,437276;0;4100,878136;4100,878136;4100,878136;32,10587784;0;2,699269095;0;34,80514693;34,80514693;34,80514693
Netherlands;28469,68293;5267,379679;2387,700535;0;11632,35294;5267,379679;16899,73262;14512,03209;45329,23244;0;2387,700535;0;16901,06952;0;16901,06952;14513,36898;102161,8549;0;2387,700535;0;16901,06952;0;16901,06952;14513,36898;5,178373913;7,042062798;0;44,66676077;5,178373913;49,84513468;42,80307188
